Wavelength,Intensity
4004.0,0.1525539
4008.0,0.122337
4012.0,0.2703195
4016.0,0.2048213
4020.0,0.3294377
4024.0,0.4125571
4028.0,0.1960715
4032.0,0.1501021
4036.0,0.1329338
4040.0,0.1382161
4044.0,0.1669261
4048.0,0.198225
4052.0,0.08193374
4056.0,0.09677785
4060.0,0.2352339
4064.0,0.3283938
4068.0,0.2560282
4072.0,0.2243363
4076.0,0.2467898
4080.0,0.1914704
4084.0,0.1854589
4088.0,0.2247209
4092.0,0.2672012
4096.0,0.3246282
4100.0,0.2853889
4104.0,0.220452
4108.0,0.1650666
4112.0,0.2073913
4116.0,0.2050072
4120.0,0.1750163
4124.0,0.2046632
4128.0,0.2504317
4132.0,0.2250401
4136.0,0.1984241
4140.0,0.1382014
4144.0,0.1013871
4148.0,0.1272478
4152.0,0.196637
4156.0,0.1282755
4160.0,0.145684
4164.0,0.1162449
4168.0,0.2635579
4172.0,0.2819981
4176.0,0.26723
4180.0,0.2547593
4184.0,0.1405499
4188.0,0.1149551
4192.0,0.3188215
4196.0,0.3442575
4200.0,0.2597994
4204.0,0.2926528
4208.0,0.08553604
4212.0,0.2149029
4216.0,0.1812689
4220.0,0.2881021
4224.0,0.3278527
4228.0,0.3233903
4232.0,0.2824382
4236.0,0.1551255
4240.0,0.051732
4244.0,0.1965663
4248.0,0.2769375
4252.0,0.208318
4256.0,0.09673335
4260.0,0.2617379
4264.0,0.2852651
4268.0,0.3607969
4272.0,0.3345333
4276.0,0.2351854
4280.0,0.1963077
4284.0,0.1157676
4288.0,0.2803384
4292.0,0.2997285
4296.0,0.1344989
4300.0,0.1122961
4304.0,0.2368643
4308.0,0.2286977
4312.0,0.1961147
4316.0,0.09573008
4320.0,0.1436038
4324.0,0.1618599
4328.0,0.0604483
4332.0,0.1336429
4336.0,0.1965543
4340.0,0.206387
4344.0,0.2283094
4348.0,0.1564664
4352.0,0.2997869
4356.0,0.2614396
4360.0,0.104476
4364.0,0.1395304
4368.0,0.1705954
4372.0,0.1829001
4376.0,0.06364992
4380.0,0.2682718
4384.0,0.2734741
4388.0,0.04084058
4392.0,0.2720158
4396.0,0.3050778
4400.0,0.2796769
4404.0,0.2128131
4408.0,0.1573702
4412.0,0.2847456
4416.0,0.2482418
4420.0,0.1672729
4424.0,0.2616805
4428.0,0.2536647
4432.0,0.167367
4436.0,0.2599247
4440.0,0.2436967
4444.0,0.08648122
4448.0,0.1712322
4452.0,0.1888032
4456.0,0.08403526
4460.0,0.2045074
4464.0,0.2186374
4468.0,0.2675367
4472.0,0.2166899
4476.0,0.2908741
4480.0,0.2903384
4484.0,0.1213222
4488.0,0.2246757
